"field","value"
"contact_address","388 GaoXin 2nd Road, East Lake Hi-Tech Development Zone"
"contact_city","Wuhan"
"contact_country","China"
"contact_department","Center for Genome Analysis"
"contact_institute","ABLife, Inc."
"contact_name","Dong,,Chen"
"contact_state","Hubei"
"contact_zip/postal_code","430075"
"contributor","Yi,,Zhang | Jiantao,,Wang"
"email","geo@ncbi.nlm.nih.gov"
"geo_accession","GSE123100"
"institute","NCBI NLM NIH"
"last_update_date","Mar 06 2020"
"name","Gene Expression Omnibus (GEO)"
"overall_design","Normal HTM cells with two different densities (cultured by 3 and 5 days, respectively) were cultured on collagen-coated polyacrylamide gels of tunable stiffness with Young’s moduli ranging from 1.1 kPa to 50 kPa. TM tissues of glaucoma patients were also obtained. RNA-seq experiments were performed for all the samples."
"platform_id","GPL18573 | GPL20795"
"platform_taxid","9606"
"pubmed_id","32115746"
"relation","BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA507545 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP171120"
"sample_id","GSM3495154 | GSM3495155 | GSM3495156 | GSM3495157 | GSM3495158 | GSM3495159 | GSM3495160 | GSM3495161 | GSM3495162 | GSM3495163 | GSM3495164 | GSM3495165 | GSM3495166 | GSM3495167 | GSM3495168 | GSM3495169 | GSM3495170 | GSM3495171 | GSM3495172"
"sample_taxid","9606"
"status","Public on Dec 16 2019"
"submission_date","Nov 29 2018"
"summary","Elevated intraocular pressure, a major risk factor of glaucoma, is caused by the abnormal function of trabecular outflow pathways. Human trabecular meshwork (HTM) tissue plays an important role in the outflow pathways. However, the molecular mechanisms that how TM cells respond to the elevated IOP are largely unknown. We cultured primary HTM cells on polyacrylamide gels with tunable stiffness corresponding to Young's moduli ranging from 1.1 to 50 kPa. Then next‐generation RNA sequencing (RNA‐seq) was performed to obtain the transcriptomic profiles of HTM cells. Bioinformatics analysis revealed that genes related to glaucoma including DCN, SPARC, and CTGF, were significantly increased with elevated substrate stiffness, as well as the global alteration of HTM transcriptome. Extracellular matrix (ECM)‐related genes were selectively activated in response to the elevated substrate stiffness, consistent with the known molecular alteration in glaucoma. Human normal and glaucomatous TM tissues were also obtained to perform RNA‐seq experiments and supported the substrate stiffness‐altered transcriptome profiles from the in vitro cell model. The current study profiled the transcriptomic changes in human TM cells upon increasing substrate stiffness. Global change of ECM‐related genes indicates that the in vitro substrate stiffness could greatly affect the biological processes of HTM cells. The in vitro HTM cell model could efficiently capture the main pathogenetic process in glaucoma patients, and provide a powerful method to investigate the underlying molecular mechanisms."
"supplementary_file","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_cell_expressed_gene_RPKM.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_cell_expressed_gene_reads.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_clin_expressed_gene_FPKM.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123100/suppl/GSE123100_clin_expressed_gene_reads.txt.gz"
"title","Transcriptome-wide study of the response of human trabecular meshwork cells to the substrate stiffness increase"
"type","Expression profiling by high throughput sequencing"
"web_link","http://www.ncbi.nlm.nih.gov/geo | https://www.ncbi.nlm.nih.gov/pubmed/32115746"
